date,channel,spend,clicks,impressions
2025-03-18,TikTok Ads,208.28,607,20016
2025-03-19,Meta Ads,1159.58,1907,40494
2025-03-19,Google Ads,337.72,549,9126
2025-03-19,TikTok Ads,423.7,1301,31798
2025-03-20,Meta Ads,519.21,839,18698
2025-03-20,Google Ads,356.28,457,14255
2025-03-20,TikTok Ads,298.69,1093,32677
2025-03-21,Meta Ads,534.11,1328,41609
2025-03-21,Google Ads,441.26,460,10914
2025-03-21,TikTok Ads,340.23,769,21777
2025-03-22,Meta Ads,508.34,1205,38470
2025-03-22,Google Ads,515.59,507,13295
2025-03-22,TikTok Ads,416.14,983,21953
2025-03-23,Meta Ads,896.06,1587,37670
2025-03-23,Google Ads,635.74,1059,31981
2025-03-23,TikTok Ads,275.28,996,27217
2025-03-24,Meta Ads,575.73,1017,35441
2025-03-24,Google Ads,280.56,293,8643
2025-03-24,TikTok Ads,410.36,958,14458
2025-03-25,Meta Ads,733.09,1270,30249
2025-03-25,Google Ads,346.14,454,14611
2025-03-25,TikTok Ads,389.08,1516,42080
2025-03-26,Meta Ads,1081.77,2226,36086
2025-03-26,Google Ads,445.1,725,15973
2025-03-26,TikTok Ads,341.29,1247,32558
2025-03-27,Meta Ads,1067.57,2368,55928
2025-03-27,Google Ads,355.06,454,8811
2025-03-27,TikTok Ads,154.99,343,10107
2025-03-28,Meta Ads,625.21,1481,45308
2025-03-28,Google Ads,368.28,539,14051
2025-03-28,TikTok Ads,232.15,555,16657
2025-03-29,Meta Ads,419.81,850,23065
2025-03-29,Google Ads,486.37,627,14423
2025-03-29,TikTok Ads,358.84,844,14055
2025-03-30,Meta Ads,880.06,1190,21953
2025-03-30,Google Ads,487.1,627,10623
2025-03-30,TikTok Ads,404.61,1524,42707
2025-03-31,Meta Ads,971.45,2007,55530
2025-03-31,Google Ads,411.47,430,9694
2025-03-31,TikTok Ads,435.93,1040,19462
2025-04-01,Meta Ads,775.55,1859,30947
2025-04-01,Google Ads,695.07,1039,22221
2025-04-01,TikTok Ads,259.5,636,14652
2025-04-02,Meta Ads,859.16,1093,31217
2025-04-02,Google Ads,468.69,686,15260
2025-04-02,TikTok Ads,199.37,596,12561
2025-04-03,Meta Ads,775.55,1770,57599
2025-04-03,Google Ads,630.4,546,18276
2025-04-03,TikTok Ads,241.37,506,16138
2025-04-04,Meta Ads,417.57,1009,16026
2025-04-04,Google Ads,669.21,745,23802
2025-04-04,TikTok Ads,292.9,991,15279
2025-04-05,Meta Ads,1019.94,1239,19477
2025-04-05,Google Ads,662.43,1122,34846
2025-04-05,TikTok Ads,230.58,653,19338
2025-04-06,Meta Ads,863.82,1581,35937
2025-04-06,Google Ads,436.33,422,13379
2025-04-06,TikTok Ads,282.43,1122,17551
2025-04-07,Meta Ads,556.67,959,25927
2025-04-07,Google Ads,295.58,324,8557
2025-04-07,TikTok Ads,229.82,475,15340
2025-04-08,Meta Ads,735.7,926,18992
2025-04-08,Google Ads,319.55,295,8097
2025-04-08,TikTok Ads,199.68,399,8908
2025-04-09,Meta Ads,903.76,1269,39747
2025-04-09,Google Ads,647.9,716,25012
2025-04-09,TikTok Ads,326.15,857,20932
2025-04-10,Meta Ads,842.28,1104,17763
2025-04-10,Google Ads,605.42,907,29976
2025-04-10,TikTok Ads,259.35,876,18231
2025-04-11,Meta Ads,743.22,1625,51334
2025-04-11,Google Ads,628.38,937,30350
2025-04-11,TikTok Ads,334.17,901,29140
2025-04-12,Meta Ads,864.31,1783,53324
2025-04-12,Google Ads,385.17,408,6306
2025-04-12,TikTok Ads,220.34,731,18793
2025-04-13,Meta Ads,650.2,1160,26273
2025-04-13,Google Ads,664.27,770,24267
2025-04-13,TikTok Ads,210.45,558,19120
2025-04-14,Meta Ads,813.24,1960,67713
2025-04-14,Google Ads,426.26,393,10448
2025-04-14,TikTok Ads,363.21,907,15149
2025-04-15,Meta Ads,1032.59,2371,80474
2025-04-15,Google Ads,440.87,682,15193
2025-04-15,TikTok Ads,330.9,1302,25661
2025-04-16,Meta Ads,1163.95,2512,61543
2025-04-16,Google Ads,383.45,429,10236
2025-04-16,TikTok Ads,398.04,1112,24969
2025-04-17,Meta Ads,1011.68,1941,38313
2025-04-17,Google Ads,299.78,502,9923
2025-04-17,TikTok Ads,240.35,831,16718
2025-04-18,Meta Ads,623.57,1370,44350
2025-04-18,Google Ads,604.07,891,28725
2025-04-18,TikTok Ads,273.43,691,20228
2025-04-19,Meta Ads,521.31,715,14261
2025-04-19,Google Ads,275.84,307,7316
2025-04-19,TikTok Ads,415.39,1406,37122
2025-04-20,Meta Ads,1187.17,2934,86570
2025-04-20,Google Ads,408.91,527,14817
2025-04-20,TikTok Ads,391.18,924,27072
2025-04-21,Meta Ads,1101.28,2648,53934
2025-04-21,Google Ads,428.16,526,12094
2025-04-21,TikTok Ads,258.5,709,20796
2025-04-22,Meta Ads,537.72,1084,35692
2025-04-22,Google Ads,268.27,315,7403
2025-04-22,TikTok Ads,347.56,1258,26747
2025-04-23,Meta Ads,400.77,481,9959
2025-04-23,Google Ads,258.34,462,12417
2025-04-23,TikTok Ads,258.37,1026,24483
2025-04-24,Meta Ads,1092.52,2305,71714
2025-04-24,Google Ads,397.85,477,13038
2025-04-24,TikTok Ads,411.45,1419,33142
2025-04-25,Meta Ads,438.21,757,25777
2025-04-25,Google Ads,613.9,677,10782
2025-04-25,TikTok Ads,359.08,1342,25990
2025-04-26,Meta Ads,954.18,1168,32331
2025-04-26,Google Ads,530.21,568,17390
2025-04-26,TikTok Ads,404.6,1205,22876
2025-04-27,Meta Ads,442.86,593,19007
2025-04-27,Google Ads,423.69,355,11331
2025-04-27,TikTok Ads,284.98,831,25810
2025-04-28,Meta Ads,889.95,2194,45320
2025-04-28,Google Ads,260.3,308,9222
2025-04-28,TikTok Ads,326.42,1166,21142
2025-04-29,Meta Ads,1091.24,1966,38155
2025-04-29,Google Ads,514.19,672,18786
2025-04-29,TikTok Ads,334.77,968,25657
2025-04-30,Meta Ads,647.22,879,22002
2025-04-30,Google Ads,337.19,277,8816
2025-04-30,TikTok Ads,238.81,846,29411
2025-05-01,Meta Ads,1092.25,1591,54875
2025-05-01,Google Ads,313.62,414,13767
2025-05-01,TikTok Ads,420.63,1310,36276
2025-05-02,Meta Ads,1186.14,1867,54238
2025-05-02,Google Ads,362.84,494,16078
2025-05-02,TikTok Ads,315.3,697,20185
2025-05-03,Meta Ads,1015.3,1219,25448
2025-05-03,Google Ads,614.3,605,11772
2025-05-03,TikTok Ads,315.24,1042,22583
2025-05-04,Meta Ads,852.46,1875,32386
2025-05-04,Google Ads,663.42,693,21685
2025-05-04,TikTok Ads,253.13,911,27102
2025-05-05,Meta Ads,611.48,1187,29980
2025-05-05,Google Ads,258.41,317,7962
2025-05-05,TikTok Ads,355.81,901,20476
2025-05-06,Meta Ads,581.55,1173,24257
2025-05-06,Google Ads,601.82,1036,24946
2025-05-06,TikTok Ads,266.05,799,15135
2025-05-07,Meta Ads,684.52,1064,32279
2025-05-07,Google Ads,283.37,481,12393
2025-05-07,TikTok Ads,159.73,462,10092
2025-05-08,Meta Ads,881.57,1403,41628
2025-05-08,Google Ads,637.38,606,18986
2025-05-08,TikTok Ads,179.7,569,19882
2025-05-09,Meta Ads,848.57,1176,28528
2025-05-09,Google Ads,455.83,739,19439
2025-05-09,TikTok Ads,371.78,790,16903
2025-05-10,Meta Ads,960.53,2123,53670
2025-05-10,Google Ads,628.21,620,19231
2025-05-10,TikTok Ads,288.56,646,16757
2025-05-11,Meta Ads,901.07,2197,55220
2025-05-11,Google Ads,598.36,533,9619
2025-05-11,TikTok Ads,312.29,966,21178
2025-05-12,Meta Ads,612.18,969,28632
2025-05-12,Google Ads,389.98,593,13977
2025-05-12,TikTok Ads,219.58,490,12965
2025-05-13,Meta Ads,439.35,919,22549
2025-05-13,Google Ads,566.24,968,20417
2025-05-13,TikTok Ads,373.95,1385,24295
2025-05-14,Meta Ads,812.49,1092,21971
2025-05-14,Google Ads,515.0,681,19706
2025-05-14,TikTok Ads,426.59,1131,28583
2025-05-15,Meta Ads,451.77,551,9939
2025-05-15,Google Ads,437.19,703,16600
2025-05-15,TikTok Ads,405.92,1314,22375
2025-05-16,Meta Ads,1173.15,2504,52210
2025-05-16,Google Ads,290.39,483,16705
2025-05-16,TikTok Ads,376.02,1204,29663
2025-05-17,Meta Ads,954.67,2317,40622
2025-05-17,Google Ads,624.15,594,14091
2025-05-17,TikTok Ads,163.44,537,8723
2025-05-18,Meta Ads,968.33,2168,72079
2025-05-18,Google Ads,373.92,598,13476
2025-05-18,TikTok Ads,385.61,1418,48722
2025-05-19,Meta Ads,760.3,1019,30690
2025-05-19,Google Ads,506.76,837,13484
2025-05-19,TikTok Ads,310.85,753,20679
2025-05-20,Meta Ads,956.4,1368,22452
2025-05-20,Google Ads,605.5,637,21021
2025-05-20,TikTok Ads,287.68,1101,30854
2025-05-21,Meta Ads,475.93,1020,30802
2025-05-21,Google Ads,643.49,726,18131
2025-05-21,TikTok Ads,181.46,595,15102
2025-05-22,Meta Ads,1127.13,2726,41457
2025-05-22,Google Ads,605.21,776,15592
2025-05-22,TikTok Ads,356.55,1055,35775
2025-05-23,Meta Ads,1194.88,2887,99439
2025-05-23,Google Ads,539.94,475,16589
2025-05-23,TikTok Ads,254.31,894,28314
2025-05-24,Meta Ads,767.76,1916,53102
2025-05-24,Google Ads,580.01,635,11733
2025-05-24,TikTok Ads,185.53,642,11940
2025-05-25,Meta Ads,550.77,1232,33536
2025-05-25,Google Ads,371.8,341,8083
2025-05-25,TikTok Ads,345.61,963,21282
2025-05-26,Meta Ads,1184.97,2907,91338
2025-05-26,Google Ads,468.35,441,13779
2025-05-26,TikTok Ads,407.25,1474,46386
2025-05-27,Meta Ads,996.56,2196,33087
2025-05-27,Google Ads,418.91,524,9974
2025-05-27,TikTok Ads,195.63,425,6889
2025-05-28,Meta Ads,438.66,863,27679
2025-05-28,Google Ads,520.37,849,29033
2025-05-28,TikTok Ads,361.51,846,16038
2025-05-29,Meta Ads,1152.82,1761,39722
2025-05-29,Google Ads,361.85,475,11535
2025-05-29,TikTok Ads,246.26,749,15513
2025-05-30,Meta Ads,774.41,1870,51140
2025-05-30,Google Ads,647.37,1105,27831
2025-05-30,TikTok Ads,309.01,1024,23644
2025-05-31,Meta Ads,1026.29,2130,57044
2025-05-31,Google Ads,457.18,656,21903
2025-05-31,TikTok Ads,155.73,324,8050
2025-06-01,Meta Ads,693.6,1463,30256
2025-06-01,Google Ads,672.1,550,12474
2025-06-01,TikTok Ads,198.93,564,12487
2025-06-02,Meta Ads,1194.53,1758,32794
2025-06-02,Google Ads,311.54,371,10097
2025-06-02,TikTok Ads,153.55,543,10540
2025-06-03,Meta Ads,1009.95,1785,32914
2025-06-03,Google Ads,263.08,457,11623
2025-06-03,TikTok Ads,346.45,845,26034
2025-06-04,Meta Ads,1192.27,2962,53694
2025-06-04,Google Ads,503.74,851,25778
2025-06-04,TikTok Ads,251.93,539,11434
2025-06-05,Meta Ads,1023.48,1802,45397
2025-06-05,Google Ads,517.76,466,15026
2025-06-05,TikTok Ads,395.73,1308,36458
2025-06-06,Meta Ads,1013.2,2319,58053
2025-06-06,Google Ads,396.03,370,12257
2025-06-06,TikTok Ads,363.51,1012,25939
2025-06-07,Meta Ads,878.86,1616,31892
2025-06-07,Google Ads,613.61,999,24972
2025-06-07,TikTok Ads,160.54,378,6327
2025-06-08,Meta Ads,833.15,1065,16173
2025-06-08,Google Ads,266.57,473,15920
2025-06-08,TikTok Ads,215.07,713,16562
2025-06-09,Meta Ads,1041.31,2027,69796
2025-06-09,Google Ads,285.28,266,4544
2025-06-09,TikTok Ads,262.93,1007,22406
2025-06-10,Meta Ads,1132.23,2705,68349
2025-06-10,Google Ads,670.93,733,15403
2025-06-10,TikTok Ads,398.55,1064,31010
2025-06-11,Meta Ads,1001.74,1306,30886
2025-06-11,Google Ads,262.62,431,9155
2025-06-11,TikTok Ads,340.27,1346,43520
2025-06-12,Meta Ads,688.93,1469,36241
2025-06-12,Google Ads,613.74,772,15108
2025-06-12,TikTok Ads,293.48,911,25772
2025-06-13,Meta Ads,1051.31,2418,71730
2025-06-13,Google Ads,320.77,514,14027
2025-06-13,TikTok Ads,446.49,1383,34486
2025-06-14,Meta Ads,1120.62,2009,34174
2025-06-14,Google Ads,375.76,639,20611
2025-06-14,TikTok Ads,354.82,1287,38606
2025-06-15,Meta Ads,1082.11,2448,59951
2025-06-15,Google Ads,346.16,494,15004
2025-06-15,TikTok Ads,185.88,409,9236
2025-06-16,Meta Ads,650.25,1326,22606
2025-06-16,Google Ads,369.24,664,19367
2025-06-16,TikTok Ads,361.94,1042,29460
2025-06-17,Meta Ads,1167.78,2902,75792
2025-06-17,Google Ads,277.43,438,14962
2025-06-17,TikTok Ads,282.27,977,30624
2025-06-18,Meta Ads,679.04,1183,26668
2025-06-18,Google Ads,507.88,565,17578
2025-06-18,TikTok Ads,358.97,820,16127
2025-06-19,Meta Ads,695.74,1595,33422
2025-06-19,Google Ads,694.06,1014,17407
2025-06-19,TikTok Ads,315.97,1256,20817
2025-06-20,Meta Ads,538.42,980,22955
2025-06-20,Google Ads,308.87,546,15319
2025-06-20,TikTok Ads,437.31,1590,54195
2025-06-21,Meta Ads,540.61,1255,35591
2025-06-21,Google Ads,345.72,316,8360
2025-06-21,TikTok Ads,320.9,1005,25528
2025-06-22,Meta Ads,641.87,902,20223
2025-06-22,Google Ads,496.73,544,15736
2025-06-22,TikTok Ads,265.6,601,20815
2025-06-23,Meta Ads,550.22,678,14126
2025-06-23,Google Ads,318.24,311,8411
2025-06-23,TikTok Ads,227.62,725,23613
2025-06-24,Meta Ads,679.64,1104,37354
2025-06-24,Google Ads,597.75,610,21105
2025-06-24,TikTok Ads,188.68,660,18904
2025-06-25,Meta Ads,505.27,696,18275
2025-06-25,Google Ads,385.69,469,8279
2025-06-25,TikTok Ads,353.42,1406,40076
2025-06-26,Meta Ads,706.29,1754,60277
2025-06-26,Google Ads,303.49,288,7131
2025-06-26,TikTok Ads,234.34,884,30250
2025-06-27,Meta Ads,489.29,1160,29267
2025-06-27,Google Ads,652.6,848,12814
2025-06-27,TikTok Ads,151.61,426,12904
2025-06-28,Meta Ads,941.94,1302,33901
2025-06-28,Google Ads,610.44,926,17576
2025-06-28,TikTok Ads,284.9,1107,17800
2025-06-29,Meta Ads,604.48,995,24876
2025-06-29,Google Ads,306.1,509,9979
2025-06-29,TikTok Ads,276.05,884,30246
2025-06-30,Meta Ads,500.09,648,16393
2025-06-30,Google Ads,297.55,326,9405
2025-06-30,TikTok Ads,323.77,888,24269
