order_id,customer_id,order_date,gross_revenue,cogs,shipping_cost,acquisition_channel,status
ORD_10054,CUST_2415,2025-04-30 03:25:00,87.83,28.11,6.49,Google Ads,Completed
ORD_10055,CUST_1925,2025-01-14 19:41:00,127.58,40.83,5.1,Google Ads,Completed
ORD_10056,CUST_2443,2025-05-24 22:14:00,59.55,19.06,6.58,Meta Ads,Completed
ORD_10057,CUST_2157,2025-04-30 10:28:00,71.89,23.0,4.86,Google Ads,Completed
ORD_10058,CUST_1699,2025-01-07 02:05:00,96.05,30.74,4.99,Meta Ads,Completed
ORD_10059,CUST_2497,2025-01-01 14:55:00,94.57,30.26,6.58,TikTok Ads,Completed
ORD_10060,CUST_1638,2025-06-17 06:04:00,40.11,12.84,6.03,Meta Ads,Completed
ORD_10061,CUST_1077,2025-04-28 03:14:00,68.68,21.98,9.13,Email Retention,Completed
ORD_10062,CUST_2464,2025-02-27 01:01:00,77.88,24.92,6.38,TikTok Ads,Completed
ORD_10063,CUST_2473,2025-01-23 10:56:00,100.71,32.23,8.29,TikTok Ads,Completed
ORD_10064,CUST_1118,2025-05-07 23:02:00,94.42,30.21,7.15,Meta Ads,Completed
ORD_10065,CUST_1643,2025-01-07 08:50:00,81.14,25.96,8.02,Email Retention,Completed
ORD_10066,CUST_1968,2025-05-12 07:06:00,29.3,9.38,5.8,Meta Ads,Completed
ORD_10067,CUST_1822,2025-01-18 12:43:00,82.97,26.55,9.21,TikTok Ads,Completed
ORD_10068,CUST_1303,2025-06-15 17:42:00,86.36,27.64,7.15,Meta Ads,Completed
ORD_10069,CUST_2379,2025-06-12 19:25:00,220.8,70.66,8.66,TikTok Ads,Refunded
ORD_10070,CUST_2289,2025-03-03 07:36:00,76.74,24.56,6.33,Meta Ads,Completed
ORD_10071,CUST_1648,2025-01-02 13:22:00,96.28,30.81,5.0,Meta Ads,Completed
ORD_10072,CUST_1381,2025-02-12 17:04:00,136.73,43.75,7.87,TikTok Ads,Completed
ORD_10073,CUST_1497,2025-04-01 04:15:00,116.76,37.36,4.54,Meta Ads,Completed
ORD_10074,CUST_1968,2025-04-10 19:37:00,151.21,48.39,6.88,TikTok Ads,Completed
ORD_10075,CUST_1483,2025-05-05 18:25:00,40.43,12.94,5.46,Meta Ads,Completed
ORD_10076,CUST_1070,2025-01-25 09:18:00,51.07,16.34,7.64,TikTok Ads,Completed
ORD_10077,CUST_2117,2025-06-11 01:15:00,63.85,20.43,9.4,Meta Ads,Completed
ORD_10078,CUST_1605,2025-03-10 16:12:00,36.98,11.83,6.82,Google Ads,Completed
ORD_10079,CUST_1828,2025-05-09 00:06:00,86.69,27.74,8.59,TikTok Ads,Completed
ORD_10080,CUST_2336,2025-03-26 11:03:00,53.08,16.99,7.04,Email Retention,Completed
ORD_10081,CUST_2437,2025-04-01 02:50:00,159.83,51.15,6.98,Meta Ads,Completed
ORD_10082,CUST_1061,2025-04-20 03:18:00,57.08,18.27,9.15,TikTok Ads,Completed
ORD_10083,CUST_2254,2025-05-30 05:46:00,72.09,23.07,8.95,TikTok Ads,Completed
ORD_10084,CUST_1246,2025-04-19 06:09:00,119.77,38.33,8.43,Organic Search,Completed
ORD_10085,CUST_1868,2025-04-19 23:43:00,44.65,14.29,5.98,Meta Ads,Completed
ORD_10086,CUST_2205,2025-06-29 05:27:00,35.72,11.43,7.23,Google Ads,Completed
ORD_10087,CUST_2133,2025-01-26 09:08:00,91.39,29.24,5.62,TikTok Ads,Completed
ORD_10088,CUST_1304,2025-06-16 17:41:00,94.52,30.25,6.72,Meta Ads,Completed
ORD_10089,CUST_1340,2025-05-12 07:39:00,118.22,37.83,6.92,Meta Ads,Completed
ORD_10090,CUST_1680,2025-02-24 11:38:00,105.97,33.91,8.66,Google Ads,Completed
ORD_10091,CUST_1547,2025-03-16 15:59:00,96.09,30.75,8.98,Organic Search,Completed
ORD_10092,CUST_1154,2025-03-20 02:19:00,60.24,19.28,6.57,Meta Ads,Completed
ORD_10093,CUST_2096,2025-05-27 20:58:00,93.36,29.88,4.59,Organic Search,Completed
ORD_10094,CUST_1653,2025-06-02 20:46:00,95.92,30.69,8.81,Google Ads,Refunded
ORD_10095,CUST_2475,2025-03-22 09:30:00,59.17,18.93,5.37,Meta Ads,Completed
ORD_10096,CUST_1337,2025-02-15 04:39:00,179.44,57.42,7.61,Email Retention,Refunded
ORD_10097,CUST_1110,2025-04-13 07:54:00,103.8,33.22,4.62,Organic Search,Completed
ORD_10098,CUST_1999,2025-05-06 08:05:00,51.51,16.48,6.5,Email Retention,Completed
ORD_10099,CUST_1429,2025-02-24 21:02:00,118.47,37.91,9.43,Organic Search,Completed
ORD_10100,CUST_1620,2025-01-15 10:23:00,127.3,40.74,5.0,Meta Ads,Completed
ORD_10101,CUST_1664,2025-04-28 21:40:00,101.09,32.35,6.62,Google Ads,Completed
ORD_10102,CUST_1139,2025-01-29 21:58:00,74.81,23.94,6.04,Meta Ads,Completed
ORD_10103,CUST_1624,2025-05-04 13:56:00,57.97,18.55,9.03,Google Ads,Completed
ORD_10104,CUST_1949,2025-02-26 22:42:00,81.04,25.93,8.85,Meta Ads,Completed
ORD_10105,CUST_2234,2025-02-28 03:39:00,97.98,31.35,5.69,Email Retention,Completed
ORD_10106,CUST_2450,2025-03-17 19:06:00,84.51,27.04,4.91,Meta Ads,Completed
ORD_10107,CUST_1410,2025-06-25 23:55:00,154.14,49.32,7.64,Meta Ads,Completed
ORD_10108,CUST_2473,2025-06-22 18:18:00,110.75,35.44,6.18,Meta Ads,Completed
ORD_10109,CUST_1610,2025-01-02 18:56:00,54.88,17.56,7.86,Meta Ads,Refunded
ORD_10110,CUST_1355,2025-02-15 06:19:00,48.86,15.64,4.66,Google Ads,Completed
ORD_10111,CUST_2134,2025-04-25 09:35:00,104.19,33.34,5.17,Meta Ads,Completed
ORD_10112,CUST_1033,2025-06-29 13:10:00,75.61,24.2,7.93,Meta Ads,Completed
ORD_10113,CUST_1768,2025-03-01 19:51:00,114.93,36.78,5.56,Email Retention,Completed
ORD_10114,CUST_2021,2025-06-03 22:55:00,103.78,33.21,8.79,Organic Search,Completed
ORD_10115,CUST_1772,2025-06-26 22:18:00,81.2,25.98,4.79,Meta Ads,Completed
ORD_10116,CUST_2152,2025-04-11 04:41:00,55.19,17.66,5.58,Meta Ads,Completed
ORD_10117,CUST_1251,2025-04-24 09:13:00,37.79,12.09,9.49,Organic Search,Completed
ORD_10118,CUST_1435,2025-05-31 13:48:00,92.6,29.63,6.67,Google Ads,Completed
ORD_10119,CUST_1029,2025-01-15 08:24:00,44.27,14.17,8.01,Meta Ads,Completed
ORD_10120,CUST_2256,2025-05-31 05:59:00,54.11,17.32,5.41,Meta Ads,Completed
ORD_10121,CUST_2465,2025-05-26 07:50:00,90.12,28.84,7.55,Meta Ads,Completed
ORD_10122,CUST_2291,2025-06-19 05:00:00,86.28,27.61,8.13,TikTok Ads,Completed
ORD_10123,CUST_1000,2025-01-22 18:29:00,46.93,15.02,6.07,Email Retention,Completed
ORD_10124,CUST_1785,2025-06-07 16:36:00,133.54,42.73,8.64,Email Retention,Completed
ORD_10125,CUST_1177,2025-04-19 00:31:00,132.0,42.24,7.52,Meta Ads,Completed
ORD_10126,CUST_2296,2025-01-26 00:44:00,105.66,33.81,6.45,Meta Ads,Completed
ORD_10127,CUST_1145,2025-03-19 00:24:00,105.6,33.79,7.29,Email Retention,Completed
ORD_10128,CUST_1704,2025-04-06 10:44:00,105.66,33.81,7.38,Organic Search,Refunded
ORD_10129,CUST_1444,2025-03-19 16:05:00,340.52,108.97,5.33,Email Retention,Completed
ORD_10130,CUST_1068,2025-04-15 09:05:00,126.82,40.58,6.51,Google Ads,Completed
ORD_10131,CUST_1569,2025-05-28 06:40:00,111.96,35.83,6.22,Google Ads,Completed
ORD_10132,CUST_1083,2025-06-15 21:49:00,57.39,18.36,6.5,Meta Ads,Completed
ORD_10133,CUST_1811,2025-04-05 07:07:00,75.12,24.04,8.31,TikTok Ads,Completed
ORD_10134,CUST_2062,2025-06-26 08:27:00,209.98,67.19,6.91,Organic Search,Completed
ORD_10135,CUST_1300,2025-06-24 18:14:00,30.3,9.7,9.2,Google Ads,Completed
ORD_10136,CUST_1952,2025-02-06 02:52:00,66.95,21.42,5.97,Meta Ads,Completed
ORD_10137,CUST_1529,2025-06-03 00:48:00,133.86,42.84,6.58,Organic Search,Refunded
ORD_10138,CUST_1413,2025-03-01 16:02:00,59.14,18.92,8.43,Email Retention,Completed
ORD_10139,CUST_1845,2025-03-22 02:05:00,113.29,36.25,7.23,Meta Ads,Completed
ORD_10140,CUST_1532,2025-05-19 03:42:00,85.78,27.45,7.24,Google Ads,Refunded
ORD_10141,CUST_1615,2025-05-01 18:02:00,61.13,19.56,4.77,Organic Search,Completed
ORD_10142,CUST_1271,2025-03-19 03:00:00,27.3,8.74,6.49,Meta Ads,Completed
ORD_10143,CUST_1080,2025-03-04 17:19:00,91.46,29.27,5.85,Email Retention,Completed
ORD_10144,CUST_1126,2025-01-29 02:36:00,56.8,18.18,9.5,Email Retention,Completed
ORD_10145,CUST_1133,2025-03-05 10:03:00,79.62,25.48,6.04,Google Ads,Completed
ORD_10146,CUST_1817,2025-02-16 00:52:00,105.21,33.67,8.92,Meta Ads,Completed
ORD_10147,CUST_2195,2025-01-03 10:59:00,122.36,39.16,7.88,TikTok Ads,Completed
ORD_10148,CUST_2098,2025-05-10 22:29:00,66.85,21.39,6.2,Meta Ads,Completed
ORD_10149,CUST_2162,2025-06-20 06:35:00,61.07,19.54,7.22,Meta Ads,Completed
ORD_10150,CUST_1143,2025-05-14 17:44:00,43.89,14.04,8.7,TikTok Ads,Completed
ORD_10151,CUST_2264,2025-06-26 21:39:00,124.98,39.99,8.92,Meta Ads,Completed
ORD_10152,CUST_1282,2025-01-19 02:30:00,196.49,62.88,5.3,Meta Ads,Completed
ORD_10153,CUST_1942,2025-04-17 17:42:00,130.88,41.88,6.2,Meta Ads,Completed
ORD_10154,CUST_1560,2025-04-04 15:24:00,143.52,45.93,6.18,Google Ads,Completed
ORD_10155,CUST_1613,2025-02-22 03:40:00,59.38,19.0,4.71,Email Retention,Completed
ORD_10156,CUST_1041,2025-02-12 06:53:00,102.47,32.79,7.49,TikTok Ads,Completed
ORD_10157,CUST_2221,2025-01-10 14:53:00,117.87,37.72,8.77,Meta Ads,Completed
ORD_10158,CUST_2209,2025-05-19 05:19:00,10.49,3.36,6.41,Google Ads,Completed
ORD_10159,CUST_1052,2025-05-10 21:27:00,50.13,16.04,8.2,Meta Ads,Completed
ORD_10160,CUST_1938,2025-02-24 06:37:00,164.81,52.74,7.64,Google Ads,Completed
ORD_10161,CUST_1683,2025-03-18 15:06:00,39.76,12.72,6.38,Meta Ads,Completed
ORD_10162,CUST_1840,2025-04-22 16:54:00,153.43,49.1,5.21,TikTok Ads,Completed
ORD_10163,CUST_1229,2025-02-10 16:25:00,39.62,12.68,8.05,Google Ads,Completed
ORD_10164,CUST_2198,2025-01-22 08:48:00,51.32,16.42,8.77,Meta Ads,Completed
ORD_10165,CUST_2283,2025-04-13 01:28:00,103.28,33.05,7.93,TikTok Ads,Completed
ORD_10166,CUST_1380,2025-03-23 23:14:00,86.74,27.76,4.59,Google Ads,Completed
ORD_10167,CUST_1230,2025-03-23 17:58:00,69.89,22.36,5.58,Organic Search,Completed
ORD_10168,CUST_1883,2025-01-08 09:29:00,162.0,51.84,4.85,Organic Search,Completed
ORD_10169,CUST_1521,2025-02-18 04:33:00,44.48,14.23,7.35,Meta Ads,Completed
ORD_10170,CUST_1066,2025-03-16 04:40:00,78.24,25.04,8.28,TikTok Ads,Completed
ORD_10171,CUST_1473,2025-06-07 05:48:00,109.02,34.89,5.05,Meta Ads,Completed
ORD_10172,CUST_2321,2025-06-02 10:24:00,95.41,30.53,8.69,Organic Search,Completed
ORD_10173,CUST_1581,2025-06-19 05:48:00,62.04,19.85,7.28,Meta Ads,Completed
ORD_10174,CUST_2021,2025-06-12 07:45:00,63.1,20.19,7.95,TikTok Ads,Completed
ORD_10175,CUST_1481,2025-03-03 22:57:00,121.56,38.9,9.36,Google Ads,Completed
ORD_10176,CUST_2304,2025-04-25 07:44:00,124.06,39.7,4.92,Google Ads,Completed
ORD_10177,CUST_1026,2025-04-28 02:46:00,96.52,30.89,9.01,Meta Ads,Completed
ORD_10178,CUST_1863,2025-02-04 00:11:00,55.71,17.83,5.13,Email Retention,Completed
ORD_10179,CUST_1580,2025-04-22 20:26:00,64.05,20.5,6.46,Google Ads,Completed
ORD_10180,CUST_2288,2025-02-24 23:16:00,83.19,26.62,8.76,Google Ads,Completed
ORD_10181,CUST_1318,2025-04-05 06:46:00,88.65,28.37,9.03,Email Retention,Completed
ORD_10182,CUST_1792,2025-05-09 05:28:00,107.12,34.28,7.03,Google Ads,Completed
ORD_10183,CUST_1186,2025-06-26 06:08:00,76.38,24.44,7.47,Google Ads,Completed
ORD_10184,CUST_2063,2025-06-21 00:31:00,120.36,38.52,8.04,Google Ads,Completed
ORD_10185,CUST_2191,2025-05-08 19:30:00,119.77,38.33,8.66,Organic Search,Completed
ORD_10186,CUST_2335,2025-06-27 09:25:00,145.68,46.62,5.11,Meta Ads,Completed
ORD_10187,CUST_1961,2025-04-30 12:41:00,84.82,27.14,8.55,Email Retention,Completed
ORD_10188,CUST_2440,2025-05-31 00:30:00,97.25,31.12,6.91,Meta Ads,Completed
ORD_10189,CUST_1970,2025-01-24 09:33:00,79.04,25.29,6.75,Organic Search,Completed
ORD_10190,CUST_2103,2025-04-24 13:36:00,56.03,17.93,6.62,Google Ads,Refunded
ORD_10191,CUST_1290,2025-02-15 04:03:00,194.46,62.23,7.05,Google Ads,Completed
ORD_10192,CUST_2453,2025-06-04 16:29:00,137.56,44.02,9.23,Organic Search,Completed
ORD_10193,CUST_1869,2025-03-24 14:10:00,118.7,37.98,7.24,Google Ads,Completed
ORD_10194,CUST_1866,2025-04-17 17:14:00,83.52,26.73,9.27,Google Ads,Completed
ORD_10195,CUST_2138,2025-03-18 00:31:00,53.72,17.19,5.4,Email Retention,Completed
ORD_10196,CUST_1406,2025-06-10 22:50:00,127.91,40.93,8.12,Google Ads,Completed
ORD_10197,CUST_1225,2025-05-19 17:17:00,78.41,25.09,8.56,Meta Ads,Completed
ORD_10198,CUST_2026,2025-03-07 01:38:00,101.1,32.35,7.9,Meta Ads,Completed
ORD_10199,CUST_2259,2025-05-20 19:08:00,63.93,20.46,7.53,Google Ads,Completed
ORD_10200,CUST_2479,2025-03-27 16:53:00,93.89,30.04,7.32,Meta Ads,Completed
ORD_10201,CUST_1695,2025-02-23 03:14:00,65.79,21.05,8.8,Google Ads,Completed
ORD_10202,CUST_2069,2025-06-08 02:03:00,66.98,21.43,8.61,Google Ads,Completed
ORD_10203,CUST_1755,2025-01-05 05:35:00,93.35,29.87,5.11,Organic Search,Completed
ORD_10204,CUST_1964,2025-03-08 03:30:00,39.34,12.59,8.74,Email Retention,Completed
ORD_10205,CUST_1272,2025-05-23 14:47:00,40.3,12.9,6.57,TikTok Ads,Completed
ORD_10206,CUST_1815,2025-02-03 05:23:00,59.05,18.9,5.77,TikTok Ads,Completed
ORD_10207,CUST_1945,2025-02-12 03:17:00,75.97,24.31,8.85,Google Ads,Completed
ORD_10208,CUST_1710,2025-02-05 00:51:00,121.96,39.03,6.66,Organic Search,Completed
ORD_10209,CUST_2136,2025-01-27 18:40:00,77.93,24.94,8.54,Meta Ads,Completed
ORD_10210,CUST_1922,2025-05-09 05:57:00,83.28,26.65,5.82,Google Ads,Completed
ORD_10211,CUST_2024,2025-06-09 09:17:00,73.27,23.45,4.52,Meta Ads,Completed
ORD_10212,CUST_1323,2025-06-05 14:05:00,97.18,31.1,6.98,Google Ads,Completed
ORD_10213,CUST_2446,2025-03-28 10:30:00,55.76,17.84,5.0,TikTok Ads,Completed
ORD_10214,CUST_1852,2025-01-10 06:57:00,79.84,25.55,8.27,TikTok Ads,Completed
ORD_10215,CUST_1686,2025-06-02 05:55:00,100.61,32.2,5.88,Google Ads,Completed
ORD_10216,CUST_1784,2025-04-09 19:57:00,93.02,29.77,6.72,Meta Ads,Completed
ORD_10217,CUST_1320,2025-06-04 04:40:00,84.49,27.04,4.94,Meta Ads,Completed
ORD_10218,CUST_1897,2025-03-30 17:24:00,84.96,27.19,5.93,Meta Ads,Completed
ORD_10219,CUST_1035,2025-01-27 19:52:00,104.89,33.56,8.41,Meta Ads,Completed
ORD_10220,CUST_1431,2025-02-11 05:16:00,198.62,63.56,5.26,Meta Ads,Completed
ORD_10221,CUST_1985,2025-03-06 07:43:00,57.56,18.42,7.74,Google Ads,Completed
ORD_10222,CUST_1258,2025-03-28 07:01:00,201.16,64.37,9.09,Organic Search,Completed
ORD_10223,CUST_1388,2025-03-27 09:12:00,56.33,18.03,7.9,Meta Ads,Completed
ORD_10224,CUST_2197,2025-05-28 19:24:00,25.52,8.17,8.56,Google Ads,Completed
ORD_10225,CUST_1248,2025-03-07 05:27:00,65.17,20.85,5.04,TikTok Ads,Completed
ORD_10226,CUST_2392,2025-02-09 10:48:00,98.0,31.36,5.75,Organic Search,Completed
ORD_10227,CUST_1292,2025-03-20 19:05:00,180.11,57.64,8.97,Organic Search,Completed
ORD_10228,CUST_1709,2025-03-31 01:07:00,53.68,17.18,8.08,Meta Ads,Completed
ORD_10229,CUST_1265,2025-04-25 05:57:00,104.62,33.48,7.7,Meta Ads,Completed
ORD_10230,CUST_2373,2025-06-26 23:49:00,42.41,13.57,7.82,Meta Ads,Completed
ORD_10231,CUST_2285,2025-06-26 18:57:00,177.24,56.72,6.57,Email Retention,Completed
ORD_10232,CUST_1281,2025-01-31 04:48:00,138.71,44.39,4.72,Meta Ads,Completed
ORD_10233,CUST_1826,2025-06-23 17:38:00,67.05,21.46,8.42,Meta Ads,Completed
ORD_10234,CUST_1610,2025-01-25 09:47:00,33.44,10.7,7.89,Google Ads,Completed
ORD_10235,CUST_1507,2025-06-10 12:58:00,148.41,47.49,6.86,Meta Ads,Completed
ORD_10236,CUST_1108,2025-01-19 19:53:00,79.62,25.48,9.0,TikTok Ads,Completed
ORD_10237,CUST_2067,2025-01-24 10:04:00,141.91,45.41,6.18,Organic Search,Completed
ORD_10238,CUST_2166,2025-05-21 02:59:00,84.2,26.94,5.97,Google Ads,Completed
ORD_10239,CUST_1209,2025-04-25 08:13:00,85.84,27.47,8.86,Google Ads,Refunded
ORD_10240,CUST_2091,2025-05-22 15:00:00,67.69,21.66,8.48,Meta Ads,Refunded
ORD_10241,CUST_2431,2025-04-13 04:58:00,110.62,35.4,7.07,Organic Search,Completed
ORD_10242,CUST_1813,2025-05-03 10:10:00,88.76,28.4,5.15,Meta Ads,Completed
ORD_10243,CUST_2139,2025-06-19 11:20:00,105.63,33.8,5.58,TikTok Ads,Completed
ORD_10244,CUST_1429,2025-05-24 22:02:00,37.35,11.95,7.78,Google Ads,Completed
ORD_10245,CUST_1818,2025-01-29 22:51:00,144.12,46.12,6.43,Meta Ads,Completed
ORD_10246,CUST_2480,2025-04-28 13:15:00,159.9,51.17,8.68,Meta Ads,Completed
ORD_10247,CUST_2228,2025-02-20 05:20:00,88.58,28.35,9.25,Meta Ads,Completed
ORD_10248,CUST_1703,2025-02-05 08:32:00,192.31,61.54,8.53,Meta Ads,Completed
ORD_10249,CUST_1357,2025-05-29 10:48:00,172.41,55.17,6.39,TikTok Ads,Completed
ORD_10250,CUST_1966,2025-02-27 15:06:00,111.68,35.74,8.44,Google Ads,Completed
ORD_10251,CUST_1918,2025-02-21 18:51:00,149.25,47.76,6.26,Organic Search,Completed
ORD_10252,CUST_2326,2025-06-08 11:42:00,132.24,42.32,5.34,TikTok Ads,Completed
ORD_10253,CUST_1156,2025-06-27 23:24:00,32.49,10.4,4.67,Google Ads,Completed
ORD_10254,CUST_1189,2025-02-15 15:18:00,73.95,23.66,6.43,Google Ads,Completed
ORD_10255,CUST_1455,2025-03-15 01:55:00,115.1,36.83,9.02,Email Retention,Completed
ORD_10256,CUST_2094,2025-02-11 11:00:00,164.58,52.67,5.69,Organic Search,Completed
ORD_10257,CUST_1691,2025-01-19 05:31:00,40.95,13.1,5.53,Meta Ads,Completed
ORD_10258,CUST_1482,2025-01-22 09:15:00,33.65,10.77,9.35,Meta Ads,Refunded
ORD_10259,CUST_1304,2025-02-06 07:25:00,81.86,26.2,4.63,Google Ads,Refunded
ORD_10260,CUST_2428,2025-04-24 10:14:00,26.53,8.49,8.43,Email Retention,Completed
ORD_10261,CUST_2173,2025-05-30 06:13:00,80.58,25.79,6.11,Meta Ads,Completed
ORD_10262,CUST_1444,2025-05-24 21:10:00,99.08,31.71,4.69,Meta Ads,Refunded
ORD_10263,CUST_2113,2025-06-06 02:26:00,52.5,16.8,9.09,TikTok Ads,Completed
ORD_10264,CUST_1877,2025-04-22 19:40:00,81.59,26.11,5.2,TikTok Ads,Completed
ORD_10265,CUST_1072,2025-06-10 13:28:00,126.88,40.6,7.26,Google Ads,Completed
ORD_10266,CUST_1333,2025-05-05 11:57:00,65.02,20.81,5.87,Organic Search,Completed
ORD_10267,CUST_1700,2025-03-06 08:23:00,56.79,18.17,4.83,Meta Ads,Completed
ORD_10268,CUST_1274,2025-05-31 13:29:00,79.91,25.57,4.75,Email Retention,Completed
ORD_10269,CUST_1579,2025-03-08 10:37:00,49.83,15.95,5.08,Organic Search,Completed
ORD_10270,CUST_1237,2025-05-09 10:34:00,185.9,59.49,4.86,Meta Ads,Completed
ORD_10271,CUST_1120,2025-06-14 06:41:00,85.38,27.32,8.3,Google Ads,Completed
ORD_10272,CUST_1096,2025-05-14 21:46:00,59.62,19.08,6.93,Meta Ads,Completed
ORD_10273,CUST_2132,2025-04-01 13:18:00,92.6,29.63,6.21,Meta Ads,Completed
ORD_10274,CUST_1955,2025-01-01 11:21:00,79.71,25.51,6.59,Meta Ads,Completed
ORD_10275,CUST_1169,2025-05-03 13:39:00,75.7,24.22,9.14,TikTok Ads,Completed
ORD_10276,CUST_1288,2025-01-19 09:23:00,65.01,20.8,9.05,Google Ads,Completed
ORD_10277,CUST_1163,2025-05-03 17:19:00,63.54,20.33,8.08,Meta Ads,Completed
ORD_10278,CUST_2468,2025-04-28 01:42:00,37.78,12.09,8.92,Organic Search,Completed
